day,minutes_of_darkness,dark_is
2021-03-06,748,Decreasing
2021-03-05,750,Decreasing
2021-03-04,753,Decreasing
2021-03-03,755,Decreasing
2021-03-02,758,Decreasing
2021-03-01,761,Decreasing
2021-02-28,763,Decreasing
2021-02-27,766,Decreasing
2021-02-26,768,Decreasing
2021-02-25,771,Decreasing
2021-02-24,774,Decreasing
2021-02-23,776,Decreasing
2021-02-22,779,Decreasing
2021-02-21,781,Decreasing
2021-02-20,784,Decreasing
2021-02-19,786,Decreasing
2021-02-18,789,Decreasing
2021-02-17,791,Decreasing
2021-02-16,794,Decreasing
2021-02-15,796,Decreasing
2021-02-14,799,Decreasing
2021-02-13,801,Decreasing
2021-02-12,803,Decreasing
2021-02-11,806,Decreasing
2021-02-10,808,Decreasing
2021-02-09,811,Decreasing
2021-02-08,813,Decreasing
2021-02-07,815,Decreasing
2021-02-06,817,Decreasing
2021-02-05,820,Decreasing
2021-02-04,822,Decreasing
2021-02-03,824,Decreasing
2021-02-02,826,Decreasing
2021-02-01,829,Decreasing
2021-01-31,831,Decreasing
2021-01-30,833,Decreasing
2021-01-29,835,Decreasing
2021-01-28,837,Decreasing
2021-01-27,839,Decreasing
2021-01-26,841,Decreasing
2021-01-25,843,Decreasing
2021-01-24,845,Decreasing
2021-01-23,847,Decreasing
2021-01-22,848,Decreasing
2021-01-21,850,Decreasing
2021-01-20,852,Decreasing
2021-01-19,854,Decreasing
2021-01-18,855,Decreasing
2021-01-17,857,Decreasing
2021-01-16,859,Decreasing
2021-01-15,860,Decreasing
2021-01-14,862,Decreasing
2021-01-13,863,Decreasing
2021-01-12,864,Decreasing
2021-01-11,866,Decreasing
2021-01-10,867,Decreasing
2021-01-09,868,Decreasing
2021-01-08,869,Decreasing
2021-01-07,871,Decreasing
2021-01-06,872,Decreasing
2021-01-05,873,Decreasing
2021-01-04,874,Decreasing
2021-01-03,874,Decreasing
2021-01-02,875,Decreasing
2021-01-01,876,Decreasing
